Nombre;Referencia;categoria;Estacion;Color;Precio
Solido;KU3144;VESTIDO CORTO;VERANO;AMARILLO;10
Solido;KU3144;VESTIDO CORTO;VERANO;AZUL;10
Con estampado;KU2165;VESTIDO CORTO;VERANO;BLANCO;10
Con estampado;KU2165;VESTIDO CORTO;VERANO;AZUL CLARO;10
De tirantes;KU2116;VESTIDO CORTO;VERANO;ROSA;10
De tirantes;KU2116;VESTIDO CORTO;VERANO;NEGRO;10
Solido de tirantes;KU456;VESTIDO CORTO;VERANO;CAMEL;10
Solido de tirantes;KU456;VESTIDO CORTO;VERANO;VERDE;10
Solido de tirantes;KU456;VESTIDO CORTO;VERANO;AZUL CELESTE;10
Bicolor;KU504;VESTIDO CORTO;VERANO;ROSA;10
Bicolor;KU504;VESTIDO CORTO;VERANO;VERDE;10
Bicolor;KU504;VESTIDO CORTO;VERANO;AMARILLO;10
con adornos;KU824;VESTIDO CORTO;VERANO;ROSA;10,5
con adornos;KU824;VESTIDO CORTO;VERANO;AZUL;10,5
con adornos;KU824;VESTIDO CORTO;VERANO;VERDE AGUA/OCRE;10,5
Con color intercalado;KU725;VESTIDO CORTO;VERANO;CAMEL;12,5
Con color intercalado;KU725;VESTIDO CORTO;VERANO;AZUL CLARO;12,5
Con color intercalado;KU725;VESTIDO CORTO;VERANO;NARANJA;12,5
Con estampado de flores;KU2150;VESTIDO CORTO;VERANO;VERDE CLARO;11
Con estampado de flores;KU2150;VESTIDO CORTO;VERANO;AZUL;11
de tirantes solido;KU797;VESTIDO CORTO;VERANO;CAMEL;10
de tirantes solido;KU797;VESTIDO CORTO;VERANO;AZUL;10
de tirantes solido;KU797;VESTIDO CORTO;VERANO;BLANCO;10
de tirantes;KU833;VESTIDO CORTO;VERANO;AZUL;10
de tirantes;KU833;VESTIDO CORTO;VERANO;VERDE OLIVA;10
de tirantes;KU833;VESTIDO CORTO;VERANO;CAMEL;10
Con estampado;KU428;VESTIDO CORTO;VERANO;ROJO;10
Con estampado;KU428;VESTIDO CORTO;VERANO;CAMEL;10
Con estampado;KU428;VESTIDO CORTO;VERANO;VERDE;10
Con bordado ;KU680;VESTIDO CORTO;VERANO;VERDE OLIVA;10
Con bordado ;KU680;VESTIDO CORTO;VERANO;AZUL CLARO;10
Con bordado ;KU680;VESTIDO CORTO;VERANO;NEGRO;10
aireado;KU2157;VESTIDO CORTO;VERANO;VERDE;10
aireado;KU2157;VESTIDO CORTO;VERANO;BLANCO;10
aireado;KU2157;VESTIDO CORTO;VERANO;AZUL;10
de tirantes;KU1085;VESTIDO;VERANO;AMARILLO;12
de tirantes;KU1085;VESTIDO;VERANO;AMARILLO LIMON;12
con bordado de tirantes;KU897;VESTIDO;VERANO;AZUL;10
con bordado de tirantes;KU897;VESTIDO;VERANO;AMARILLO;10
aireado;KU2261;VESTIDO;VERANO;BLANCO;10
aireado;KU2261;VESTIDO;VERANO;VERDE;10
con estampado solido;KU2223;VESTIDO;VERANO;NEGRO;12
con estampado solido;KU2223;VESTIDO;VERANO;AMARILLO;12
con estampado solido;KU2250;VESTIDO;VERANO;VERDE;12
con estampado solido;KU2250;VESTIDO;VERANO;AZUL;12
unicolor;KU2147;VESTIDO CORTO;VERANO;BLANCO;10
unicolor;KU2147;VESTIDO CORTO;VERANO;AZUL;10
unicolor;KU2147;VESTIDO CORTO;VERANO;VERDE;10
por capas;KU878;CONJUNTO;VERANO;AZUL;12
por capas;KU878;CONJUNTO;VERANO;VERDE AGUA;12
por capas;KU878;CONJUNTO;VERANO;AZUL MARINO;12
con decoracion;KU2252;VESTIDO;VERANO;VERDE CLARO;10
con decoracion;KU2252;VESTIDO;VERANO;AMARILLO;10
aireado;KU2257;VESTIDO;VERANO;BLANCO;10
aireado;KU2257;VESTIDO;VERANO;CAMEL;10
aireado;KU2257;VESTIDO;VERANO;VERDE CLARO;10
con decoracion;KU2185;VESTIDO CORTO;VERANO;ROSA;10
con decoracion;KU2185;VESTIDO CORTO;VERANO;VERDE;10
con decoracion;KU2185;VESTIDO CORTO;VERANO;VERDE OLIVA;10
con decoracion;KU1067;VESTIDO;VERANO;VERDE;10
con decoracion;KU1067;VESTIDO;VERANO;AZUL;10
con decoracion;KU1067;VESTIDO;VERANO;AZUL MARINO;10
con decoracion por capas ;KU2246;VESTIDO;VERANO;VERDE;12
con decoracion por capas ;KU2246;VESTIDO;VERANO;CAMEL;12
solido;KU3209;VESTIDO;VERANO;NARANJA;12
solido;KU3209;VESTIDO;VERANO;BLANCO;12
con estampado;KU2123;VESTIDO;VERANO;CAMEL;10
con estampado;KU2123;VESTIDO;VERANO;BLANCO;10
con estampado;KU2123;VESTIDO;VERANO;NEGRO;10
con estampado;KU591;VESTIDO CORTO;VERANO;ROSA FUXIA;10
con flores;KU2285;VESTIDO;VERANO;VERDE AGUA;12
con flores;KU2285;VESTIDO;VERANO;VERDE OLIVA;12
con flores;KU2285;VESTIDO;VERANO;ROSA;12
con decoracion;KU986;VESTIDO;VERANO;AZUL;10
con decoracion;KU986;VESTIDO;VERANO;CAMEL;10
con decoracion;KU986;VESTIDO;VERANO;AMARILLO;10
con estampado;KU2270;VESTIDO;VERANO;VERDE;10
con estampado;KU2270;VESTIDO;VERANO;CAMEL;10
solido;KU2247;VESTIDO;VERANO;Azul Turquesa;10
solido;KU2247;VESTIDO;VERANO;BLANCO;10
de tirantes con colores por capas;KU473;VESTIDO CORTO;VERANO;ROSA;10
de tirantes con colores por capas;KU473;VESTIDO CORTO;VERANO;NARANJA;10
de tirantes con colores por capas;KU473;VESTIDO CORTO;VERANO;AZUL;10
con estampado;KU2143;VESTIDO CORTO;VERANO;ROJO;10
con estampado;KU2143;VESTIDO CORTO;VERANO;VERDE;10
con estampado;KU2143;VESTIDO CORTO;VERANO;Azul Turquesa;10
solido;KU498;VESTIDO CORTO;VERANO;BLANCO;10
con estampado bicolor;KU3190;VESTIDO;VERANO;NEGRO;12
con estampado bicolor;KU3190;VESTIDO;VERANO;CAMEL;12
con estampado bicolor;KU3190;VESTIDO;VERANO;VERDE;12
con flores;KU2416;VESTIDO;VERANO;ROSA PALO;12
con flores;KU2416;VESTIDO;VERANO;NEGRO;12
con estampado multicolor;KU743;VESTIDO;VERANO;BLANCO;12
con estampado multicolor;KU743;VESTIDO;VERANO;NARANJA;12
solido;KU626;VESTIDO;VERANO;VERDE;10
solido;KU626;VESTIDO;VERANO;AZUL;10
solido;KU626;VESTIDO;VERANO;CAMEL;10
de tirantes solido;KU780;VESTIDO CORTO;VERANO;VERDE;10,5
de tirantes solido;KU780;VESTIDO CORTO;VERANO;CAMEL;10,5
de tirantes solido;KU780;VESTIDO CORTO;VERANO;AZUL;10,5
de colores por rallas;KU907;VESTIDO;VERANO;ROSA;10
con estampado de flores;KU2282;VESTIDO;VERANO;BLANCO;12
con estampado de flores;KU2282;VESTIDO;VERANO;CAMEL;12
solido;KU950;VESTIDO;VERANO;CAMEL;12
solido;KU950;VESTIDO;VERANO;AZUL;12
solido;KU950;VESTIDO;VERANO;VERDE OLIVA;12
por capas;KU2105;VESTIDO CORTO;VERANO;BLANCO;10
unicolor por capas;KU598;VESTIDO;VERANO;VERDE;10
unicolor por capas;KU598;VESTIDO;VERANO;CAMEL;10
unicolor por capas;KU598;VESTIDO;VERANO;BLANCO;10
de tirantes con estampado;KU644;VESTIDO;VERANO;AMARILLO;16,5
de tirantes con estampado;KU3101;VESTIDO CORTO;VERANO;AMARILLO;14,5
de tirantes con estampado;KU3101;VESTIDO CORTO;VERANO;LILA;14,5
de tirantes con estampado;KU3101;VESTIDO CORTO;VERANO;ROSA;14,5
de tirantes;KU459;VESTIDO CORTO;VERANO;CAMEL;14,5
de tirantes;KU459;VESTIDO CORTO;VERANO;BLANCO;14,5
de tirantes;KU459;VESTIDO CORTO;VERANO;VERDE;14,5
solido ;KU3206;VESTIDO;VERANO;CAMEL;12
de tejido acordeon;KU3206;VESTIDO;VERANO;VERDE;12
de tejido acordeon;KU3206;VESTIDO;VERANO;NEGRO;12
de tejido acordeon;KU3206;VESTIDO;VERANO;BLANCO;12
de tirantes por capas;KU896;VESTIDO;VERANO;AMARILLO;12
de tirantes por capas;KU896;VESTIDO;VERANO;AZUL;12
de tirantes por capas;KU896;VESTIDO;VERANO;ROSA;12
con degradado;KU1805;VESTIDO CORTO;VERANO;ROSA;9,9
con degradado;KU1805;VESTIDO CORTO;VERANO;AMARILLO;9,9
con degradado;KU1805;VESTIDO CORTO;VERANO;AZUL;9,9
con degradado;KU1805;VESTIDO CORTO;VERANO;SALMON;9,9
con degradado;KU1805;VESTIDO CORTO;VERANO;LILA;9,9
de estilo rosa;KU771;VESTIDO CORTO;VERANO;ROSA PALO;12
de estilo rosa;KU771;VESTIDO CORTO;VERANO;AMARILLO;12
de estilo rosa;KU771;VESTIDO CORTO;VERANO;AZUL;12
De tirantes;RA10561;VESTIDO;VERANO;ROSA;12,5
De tirantes;RA10561;VESTIDO;VERANO;AZUL;12,5
De tirantes;RA10561;VESTIDO;VERANO;SALMON;12,5
De tirantes;RA10561;VESTIDO;VERANO;VERDE OLIVA;12,5
solida monocolor;RA85057;BLUSA;VERANO;LILA;9,5
solida monocolor;RA85057;BLUSA;VERANO;ROSA PALO;9,5
solida monocolor;RA85057;BLUSA;VERANO;NEGRO;9,5
solida monocolor;RA85057;BLUSA;VERANO;VERDE;9,5
con degradado;RA12651;VESTIDO;VERANO;ROSA;10,5
con degradado;RA12651;VESTIDO;VERANO;AMARILLO;10,5
con degradado;RA12651;VESTIDO;VERANO;AZUL;10,5
con degradado;RA12651;VESTIDO;VERANO;ROSA PALO;10,5
con decoracion;RA10371;VESTIDO;VERANO;ROSA;13,5
con decoracion;RA10371;VESTIDO;VERANO;AMARILLO;13,5
con decoracion;RA10371;VESTIDO;VERANO;SALMON;13,5
con decoracion;RA10371;VESTIDO;VERANO;MULTICOLOR 4;13,5
con decoracion;RA10371;VESTIDO;VERANO;MULTICOLOR 5;13,5
con bicolor;RA3051;VESTIDO;VERANO;ROSA;10,5
con bicolor;RA3051;VESTIDO;VERANO;AZUL;10,5
con bicolor;RA3051;VESTIDO;VERANO;ROSA FUXIA;10,5
con bicolor;RA3051;VESTIDO;VERANO;NARANJA;10,5
con bicolor;RA3051;VESTIDO;VERANO;VERDE AGUA;10,5
con estampado;RA11321;VESTIDO;VERANO;ROSA;12,5
con estampado;RA11321;VESTIDO;VERANO;SALMON;12,5
con estampado;RA11321;VESTIDO;VERANO;VERDE;12,5
con estampado;RA11571;VESTIDO;VERANO;VERDE;10,5
con estampado;RA11571;VESTIDO;VERANO;AZUL;10,5
con estampado;RA11571;VESTIDO;VERANO;ROJO;10,5
con estampado;RA11571;VESTIDO;VERANO;ROSA PALO;10,5
con bordado por capas;RA14511;VESTIDO;VERANO;BLANCO;13,5
con dibujos de flores;RA13161;VESTIDO;VERANO;ROSA;13,5
con dibujos de flores;RA13161;VESTIDO;VERANO;VERDE;13,5
con dibujos de flores;RA13161;VESTIDO;VERANO;BEIGE;13,5
con dibujos de flores;RA10801;VESTIDO;VERANO;ROSA;11,5
con dibujos de flores;RA10801;VESTIDO;VERANO;BEIGE;11,5
con dibujos de flores;RA10801;VESTIDO;VERANO;AZUL;11,5
con dibujos de flores;RA10801;VESTIDO;VERANO;VERDE;11,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;AZUL;12,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;AMARILLO;12,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;VERDE;12,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;CHOCOLATE;12,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;ROSA;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;CAMEL;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;AZUL;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;AMARILLO;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;NEGRO;14,5
con estampado;RA2033;VESTIDO;VERANO;ROSA;10,5
con estampado;RA2033;VESTIDO;VERANO;VERDE OLIVA;10,5
con estampado;RA2033;VESTIDO;VERANO;NEGRO;10,5
con estampado;RA2033;VESTIDO;VERANO;AMARILLO;10,5
con estampado;RA11322;VESTIDO CORTO;VERANO;VERDE OLIVA;11,5
con estampado;RA11322;VESTIDO CORTO;VERANO;AZUL;11,5
con estampado;RA11322;VESTIDO CORTO;VERANO;ROSA FUXIA;11,5
con estampado;RA11322;VESTIDO CORTO;VERANO;SALMON;11,5
